"","Palavra","Dimensao","Media","DP"
"530","NEURÓTICO","Ativacao",6.1,2.98
"531","NEVE","Valencia",6.93,2.27
"532","NEVE","Ativacao",5.19,2.91
"533","NÓ","Valencia",3.9,1.79
"534","NÓ","Ativacao",4.76,2.77
"535","NOIVA","Valencia",6.84,1.9
"536","NOIVA","Ativacao",5.31,2.78
"537","NOME","Valencia",7.5,1.98
"538","NOME","Ativacao",3.53,2.79
"539","NOTÍCIA","Valencia",6.49,1.77
"540","NOTÍCIA","Ativacao",4.93,2.62
"541","NOVO","Valencia",7.96,1.31
"542","NOVO","Ativacao",4.94,2.94
"543","NU","Valencia",7.14,1.65
"544","NU","Ativacao",4.49,2.88
"545","NUBLADO","Valencia",3.91,2.06
"546","NUBLADO","Ativacao",3.73,2.53
"547","NUTRIR","Valencia",6.42,2.36
"548","NUTRIR","Ativacao",4.9,2.72
"549","NUVEM","Valencia",6.67,2.07
"550","NUVEM","Ativacao",2.7,2.16
"551","OBEDECER","Valencia",4.55,2.46
"552","OBEDECER","Ativacao",4.2,2.62
"553","OBESIDADE","Valencia",2.14,1.99
"554","OBESIDADE","Ativacao",5.55,3.3
"555","OBSCENO","Valencia",3.89,1.98
"556","OBSCENO","Ativacao",4.09,2.77
"557","OBSESSÃO","Valencia",3,2.07
"558","OBSESSÃO","Ativacao",5.19,2.86
"559","OBSTRUIR","Valencia",2.64,1.78
"560","OBSTRUIR","Ativacao",5.29,3
"561","OCEANO","Valencia",7.77,1.81
"562","OCEANO","Ativacao",3.58,2.93
"563","ÓDIO","Valencia",2.86,2.16
"564","ÓDIO","Ativacao",4.76,3.05
"565","OFENDER","Valencia",1.78,1.48
"566","OFENDER","Ativacao",6.23,3.14
"567","OFUSCAR","Valencia",4.51,2.04
"568","OFUSCAR","Ativacao",4.14,2.47
"569","ÔNIBUS","Valencia",4.18,2.39
"570","ÔNIBUS","Ativacao",4.58,2.91
"571","ONIPOTENTE","Valencia",5.8,2.63
"572","ONIPOTENTE","Ativacao",4.76,2.81
"573","OPÇÃO","Valencia",6.27,1.85
"574","OPÇÃO","Ativacao",5.18,2.86
"575","RELÂMPAGO","Valencia",3.77,2.31
"576","RELÂMPAGO","Ativacao",5.85,2.72
"577","RELAXADO","Valencia",6.36,3.18
"578","RELAXADO","Ativacao",3.76,3.01
"579","RELÓGIO","Valencia",5.73,2.17
"580","RELÓGIO","Ativacao",4.42,2.35
"581","REMÉDIO","Valencia",3.93,2.58
"582","REMÉDIO","Ativacao",4.24,2.54
"583","RÉPTIL","Valencia",4.47,2.18
"584","RÉPTIL","Ativacao",4.34,2.59
"585","REPUGNADO","Valencia",2.67,1.8
"586","REPUGNADO","Ativacao",4.56,2.31
"587","REPULSIVO","Valencia",3.1,2.15
"588","REPULSIVO","Ativacao",5.15,2.35
"589","RESERVADO","Valencia",5.75,1.78
"590","RESERVADO","Ativacao",3.76,2.26
"591","RESPEITO","Valencia",8.43,1.06
"592","RESPEITO","Ativacao",3.9,3.12
"593","RESPEITOSO","Valencia",7.52,1.71
"594","RESPEITOSO","Ativacao",3.41,2.63
"595","RESPOSTA","Valencia",6.96,1.81
"596","RESPOSTA","Ativacao",4.47,2.73
"597","RESSENTIDO","Valencia",2.83,1.87
"598","RESSENTIDO","Ativacao",4.8,2.24
"599","RESTAURANTE","Valencia",7.7,1.56
"600","RESTAURANTE","Ativacao",3.96,2.77
"601","REUNIÃO","Valencia",5.06,2.26
"602","REUNIÃO","Ativacao",4.88,2.76
"603","REVERENTE","Valencia",5.41,1.86
"604","REVERENTE","Ativacao",3.75,2.08
"605","REVISTA","Valencia",6.9,1.8
"606","REVISTA","Ativacao",3.51,2.54
"607","REVOLTA","Valencia",2.44,2.09
"608","REVOLTA","Ativacao",6.47,2.52
"609","REVÓLVER","Valencia",1.94,1.78
"610","REVÓLVER","Ativacao",6.24,3.05
"611","RICO","Valencia",6.49,1.89
"612","RICO","Ativacao",4.21,2.71
"613","RIDÍCULO","Valencia",2.61,1.9
"614","RIDÍCULO","Ativacao",4.87,2.7
"615","RIFLE","Valencia",2.36,2.11
"616","RIFLE","Ativacao",5.68,2.91
"617","RÍGIDO","Valencia",4.56,1.89
"618","RÍGIDO","Ativacao",4.77,2.14
"619","RIO","Valencia",6.94,2.09
"620","RIO","Ativacao",3.92,2.67
"621","RIQUEZAS","Valencia",6.75,2.06
"622","RIQUEZAS","Ativacao",4.24,2.59
"623","RISADA","Valencia",8.59,0.92
"624","RISADA","Ativacao",4.63,3.54
"625","ROCHA","Valencia",5.49,1.85
"626","ROCHA","Ativacao",3.52,2.11
"627","RODOVIA","Valencia",5.46,1.95
"628","RODOVIA","Ativacao",4.65,2.34
"629","ROMÂNTICO","Valencia",8.34,1.35
"630","ROMÂNTICO","Ativacao",4.16,3.33
"631","ROSTO","Valencia",7.53,1.71
"632","ROSTO","Ativacao",3.95,2.8
"633","ROUPA","Valencia",7.41,2
"634","ROUPA","Ativacao",4.57,3.2
"635","RUA","Valencia",6.19,1.56
"636","RUA","Ativacao",4.42,2.38
"637","RUDE","Valencia",2.96,1.82
"638","RUDE","Ativacao",5.2,2.34
"639","RUIDOSO","Valencia",3.97,1.92
"640","RUIDOSO","Ativacao",4.8,2.37
"641","SÁBIO","Valencia",7.92,1.38
"642","SÁBIO","Ativacao",3.96,2.83
"643","SABOROSO","Valencia",8.24,1.42
"644","SABOROSO","Ativacao",4.05,3.17
"645","SAFIRA","Valencia",6,1.93
"646","SAFIRA","Ativacao",3.4,2.37
"647","SALADA","Valencia",6.88,2.26
"648","SALADA","Ativacao",3.67,2.86
"649","SALVADOR","Valencia",7.67,1.77
"650","SALVADOR","Ativacao",3.57,2.61
"651","SALVAR","Valencia",8.1,1.36
"652","SALVAR","Ativacao",4.56,3.16
"653","SANGRENTO","Valencia",2.29,1.96
"654","SANGRENTO","Ativacao",5.42,3.01
"655","SANTO","Valencia",6.65,2.01
"656","SANTO","Ativacao",3.44,2.59
"657","SARAMPO","Valencia",2.49,1.61
"658","SARAMPO","Ativacao",4.46,2.74
"659","SATISFEITO","Valencia",8.09,1.58
"660","SATISFEITO","Ativacao",3.99,3.04
"661","SAUDAR","Valencia",8,1.32
"662","SAUDAR","Ativacao",3.64,2.84
"663","SAÚDE","Valencia",8.39,1.25
"664","SAÚDE","Ativacao",4.1,3.16
"665","SECADOR","Valencia",5.61,1.92
"666","SECADOR","Ativacao",3.96,2.46
"667","SEDA","Valencia",6.38,1.94
"668","SEDA","Ativacao",2.79,2.34
"669","SEGURO","Valencia",7.06,2.46
"670","SEGURO","Ativacao",3.7,2.69
"671","SENTIMENTO","Valencia",7.41,2.02
"672","SENTIMENTO","Ativacao",4.85,2.85
"673","SÉRIO","Valencia",5.39,2.16
"674","SÉRIO","Ativacao",4.01,2.17
"675","SEVERO","Valencia",3.29,2.19
"676","SEVERO","Ativacao",5.12,2.54
"677","SEXO","Valencia",7.93,1.86
"678","SEXO","Ativacao",5.28,3.4
"679","SEXY","Valencia",7.66,1.7
"680","SEXY","Ativacao",5.26,2.99
"681","SÍFILIS","Valencia",1.93,1.74
"682","SÍFILIS","Ativacao",5.37,3.22
"683","SOBRECARREGADO","Valencia",2.58,1.95
"684","SOBRECARREGADO","Ativacao",6.49,2.54
"685","SOBRESSALTO","Valencia",4.76,2.28
"686","SOBRESSALTO","Ativacao",4.84,2.5
"687","SOCIAL","Valencia",6.74,2.03
"688","SOCIAL","Ativacao",4.09,2.5
"689","SOCIEDADE","Valencia",5.53,2.46
"690","SOCIEDADE","Ativacao",5.25,2.29
"691","SOFRIMENTO","Valencia",1.68,1.65
"692","SOFRIMENTO","Ativacao",6.14,2.9
"693","SOL","Valencia",8.28,1.68
"694","SOL","Ativacao",4.27,3.38
"695","SOLENE","Valencia",5.29,1.99
"696","SOLENE","Ativacao",4,2.08
"697","ARTE","Valencia",8.08,1.5
"698","ARTE","Ativacao",3.68,3.21
"699","ÁRVORE","Valencia",7.98,1.46
"700","ÁRVORE","Ativacao",2.27,2.19
"701","ÁS","Valencia",5.71,2
"702","ÁS","Ativacao",3.84,2.6
"703","ÁSPERO","Valencia",3.38,2.34
"704","ÁSPERO","Ativacao",5.49,2.53
"705","ASSALTANTE","Valencia",2.03,2.25
"706","ASSALTANTE","Ativacao",7.24,2.7
"707","ASSALTO","Valencia",1.47,1.1
"708","ASSALTO","Ativacao",7.67,2.25
"709","ASSAR","Valencia",6.24,2.73
"710","ASSAR","Ativacao",3.92,2.7
"711","ASSASSINO","Valencia",1.16,0.8
"712","ASSASSINO","Ativacao",7.51,2.5
"713","ASSENTO","Valencia",5.87,2.07
"714","ASSENTO","Ativacao",3.05,2.2
"715","ASSOVIO","Valencia",6.15,2.15
"716","ASSOVIO","Ativacao",4.48,2.62
"717","ASSUSTADO","Valencia",2.89,2.17
"718","ASSUSTADO","Ativacao",6,2.54
"719","ASTRONAUTA","Valencia",5.81,1.66
"720","ASTRONAUTA","Ativacao",3.84,2.45
"721","ATADURA","Valencia",2.87,2.26
"722","ATADURA","Ativacao",4.5,2.89
"723","ATERRORIZADO","Valencia",1.79,1.46
"724","ATERRORIZADO","Ativacao",7.32,2.53
"725","ATIVAR","Valencia",7.19,1.82
"726","ATIVAR","Ativacao",4.19,2.6
"727","ATLETISMO","Valencia",7.31,2.13
"728","ATLETISMO","Ativacao",4.27,2.5
"729","ATRAÇÃO","Valencia",8.22,1.49
"730","ATRAÇÃO","Ativacao",4.84,3.43
"731","AURORA","Valencia",6.96,2.21
"732","AURORA","Ativacao",3.02,2.42
"733","AUTONOMIA","Valencia",7.71,1.92
"734","AUTONOMIA","Ativacao",4.29,3.1
"735","AVALANCHE","Valencia",2.32,2.1
"736","AVALANCHE","Ativacao",6.02,2.9
"737","AVENIDA","Valencia",5.84,1.84
"738","AVENIDA","Ativacao",3.76,2.4
"739","AVENTURA","Valencia",8.06,1.53
"740","AVENTURA","Ativacao",6.33,2.97
"741","AVÔ","Valencia",7.18,2.8
"742","AVÔ","Ativacao",4.05,2.9
"743","AZEDO","Valencia",2.87,2.04
"744","AZEDO","Ativacao",4.42,2.13
"745","AZUL","Valencia",7.42,2.32
"746","AZUL","Ativacao",3.37,2.78
"747","BACIA","Valencia",4.68,1.84
"748","BACIA","Ativacao",3.59,2.53
"749","BAGUNÇADO","Valencia",3.21,2.28
"750","BAGUNÇADO","Ativacao",5.92,2.61
"751","BALA","Valencia",6.98,1.99
"752","BALA","Ativacao",3.44,2.45
"753","BANDEIRA","Valencia",6.32,1.65
"754","BANDEIRA","Ativacao",3,2.25
"755","BANHEIRA","Valencia",8,1.37
"756","BANHEIRA","Ativacao",3,2.69
"757","BANHEIRO","Valencia",6.82,1.72
"758","BANHEIRO","Ativacao",3,2.51
"759","BANHO","Valencia",8.29,1.5
"760","BANHO","Ativacao",2.61,2.74
"761","BANQUETA","Valencia",5.84,1.98
"762","BANQUETA","Ativacao",2.61,1.76
"763","BARATA","Valencia",2.83,1.89
"764","BARATA","Ativacao",5.23,3.17
"765","BARRA","Valencia",4.74,1.91
"766","BARRA","Ativacao",4.37,2.38
"767","BARRIL","Valencia",5.85,2.11
"768","BARRIL","Ativacao",4.28,2.58
"769","BASTARDO","Valencia",3.42,2.5
"770","BASTARDO","Ativacao",4.16,2.66
"771","BEBÊ","Valencia",8.21,1.41
"772","BEBÊ","Ativacao",3.71,2.73
"773","BEBIDA","Valencia",6.03,2.79
"774","BEBIDA","Ativacao",4.08,3.03
"775","BECO","Valencia",3.02,2.06
"776","BECO","Ativacao",5.8,2.9
"777","BEIJO","Valencia",8.76,0.79
"778","BEIJO","Ativacao",5.24,3.74
"779","BELEZA","Valencia",8.09,1.25
"780","BELEZA","Ativacao",3.91,2.84
"781","BELISCAR","Valencia",3.71,2.37
"782","BELISCAR","Ativacao",4.82,2.66
"783","BELO","Valencia",7.73,1.77
"784","BELO","Ativacao",3.29,2.53
"785","BENZER","Valencia",6.5,2.06
"786","BENZER","Ativacao",2.76,2.68
"787","BERÇÁRIO","Valencia",7.6,1.7
"788","BERÇÁRIO","Ativacao",3.3,2.33
"789","BERRAR","Valencia",3.63,2.36
"790","BERRAR","Ativacao",6.21,2.73
"791","BESTA","Valencia",2.45,1.93
"792","BESTA","Ativacao",5.3,2.76
"793","BISPO","Valencia",5.68,2.51
"794","BISPO","Ativacao",2.71,2.4
"795","BLASFÊMIA","Valencia",2.63,1.78
"796","BLASFÊMIA","Ativacao",5.71,2.6
"797","BOBAGEM","Valencia",4.84,2.48
"798","BOBAGEM","Ativacao",4.76,2.78
"799","BOLINHO","Valencia",7.5,1.54
"800","BOLINHO","Ativacao",3.4,2.47
"801","BOLO","Valencia",7.37,2.01
"802","BOLO","Ativacao",3.26,2.64
"803","BOM","Valencia",8.19,1.53
"804","BOM","Ativacao",3.36,2.65
"805","BOMBA","Valencia",1.53,1.39
"806","BOMBA","Ativacao",6.87,2.56
"807","BONECA","Valencia",5.57,2.19
"808","BONECA","Ativacao",3.05,2.24
"809","BONITO","Valencia",8.42,1.41
"810","BONITO","Ativacao",3.45,2.94
"811","BORBOLETA","Valencia",7.38,1.82
"812","BORBOLETA","Ativacao",2.56,1.88
"813","BOXEADOR","Valencia",4.13,2.5
"814","BOXEADOR","Ativacao",5.34,2.5
"815","BRABEZA","Valencia",2.83,2.15
"816","BRABEZA","Ativacao",6.02,2.71
"817","BRABO","Valencia",2.26,1.83
"818","BRABO","Ativacao",6.05,2.7
"819","BRAÇO","Valencia",6.35,2.12
"820","BRAÇO","Ativacao",3.64,2.12
"821","BRANCO","Valencia",7.18,2.08
"822","BRANCO","Ativacao",2.61,2.47
"823","BRAVO","Valencia",2.56,2.2
"824","BRAVO","Ativacao",6.31,2.87
"825","BRILHANTE","Valencia",7.45,1.81
"826","BRILHANTE","Ativacao",3.21,2.43
"827","BRINQUEDO","Valencia",7.54,1.77
"828","BRINQUEDO","Ativacao",3.56,2.45
"829","BRISA","Valencia",7.39,2.11
"830","BRISA","Ativacao",2.76,2.8
"831","BRUTAL","Valencia",1.98,1.84
"832","BRUTAL","Ativacao",6.6,2.77
"833","BUQUÊ","Valencia",7.42,2.41
"834","BUQUÊ","Ativacao",3.74,3.19
"835","BURRO","Valencia",2.96,1.9
"836","BURRO","Ativacao",4.7,2.73
"837","CABANA","Valencia",7.21,1.74
"838","CABANA","Ativacao",3.21,2.68
"839","CABELO","Valencia",6.67,2.41
"840","CABELO","Ativacao",3.78,2.64
"841","DESAJEITADO","Valencia",3.67,1.95
"842","DESAJEITADO","Ativacao",3.65,2.4
"843","DESAMPARADO","Valencia",2.48,1.65
"844","DESAMPARADO","Ativacao",5,2.62
"845","DESANIMADO","Valencia",1.84,1.3
"846","DESANIMADO","Ativacao",4.47,3.04
"847","DESASTRE","Valencia",1.84,1.56
"848","DESASTRE","Ativacao",5.97,2.93
"849","DESAVENÇA","Valencia",1.98,1.42
"850","DESAVENÇA","Ativacao",5.44,2.83
"851","DESCONFORTO","Valencia",2.31,1.76
"852","DESCONFORTO","Ativacao",5.6,2.86
"853","DESCULPA","Valencia",5.9,2.67
"854","DESCULPA","Ativacao",4.37,2.83
"855","DESDENHOSO","Valencia",3.01,1.75
"856","DESDENHOSO","Ativacao",4.86,2.52
"857","DESEJO","Valencia",7.78,1.72
"858","DESEJO","Ativacao",5.06,2.9
"859","DESERTOR","Valencia",3.72,1.59
"860","DESERTOR","Ativacao",4.58,2.19
"861","DESESPERADOR","Valencia",1.92,1.58
"862","DESESPERADOR","Ativacao",6.12,3.11
"863","DESINTERESSADO","Valencia",3.46,1.9
"864","DESINTERESSADO","Ativacao",5.16,2.65
"865","DESLEAL","Valencia",1.63,1.3
"866","DESLEAL","Ativacao",5.9,3.17
"867","DESLIGADO","Valencia",3.31,1.86
"868","DESLIGADO","Ativacao",5.13,2.64
"869","DESPEJAR","Valencia",4.08,2.04
"870","DESPEJAR","Ativacao",3.92,2.81
"871","DESPERDÍCIO","Valencia",3.45,1.89
"872","DESPERDÍCIO","Ativacao",4.99,2.5
"873","DESPREOCUPADO","Valencia",5.33,2.7
"874","DESPREOCUPADO","Ativacao",3.35,2.45
"875","DESPREZAR","Valencia",2.08,1.67
"876","DESPREZAR","Ativacao",5.91,2.87
"877","DESPREZO","Valencia",1.71,1.32
"878","DESPREZO","Ativacao",4.96,3.18
"879","DESTACADO","Valencia",6.82,1.81
"880","DESTACADO","Ativacao",4.53,2.57
"881","DESTROÇAR","Valencia",2.53,1.79
"882","DESTROÇAR","Ativacao",4.39,3
"883","DESTRUIÇÃO","Valencia",2.13,1.93
"884","DESTRUIÇÃO","Ativacao",5.88,2.81
"885","DESTRUIR","Valencia",2,1.68
"886","DESTRUIR","Ativacao",5.35,3.17
"887","DETALHE","Valencia",6.36,1.8
"888","DETALHE","Ativacao",4.4,2.67
"889","DETESTAR","Valencia",2.29,1.71
"890","DETESTAR","Ativacao",4.39,3.08
"891","DEUS","Valencia",8.11,1.54
"892","DEUS","Ativacao",3.8,3.15
"893","DEVOTADO","Valencia",5.8,2.01
"894","DEVOTADO","Ativacao",2.82,2.37
"895","DIABO","Valencia",2.67,2.2
"896","DIABO","Ativacao",4.63,2.86
"897","DIAMANTE","Valencia",7.22,2.09
"898","DIAMANTE","Ativacao",4.1,2.88
"899","DIGNO","Valencia",7.69,1.67
"900","DIGNO","Ativacao",4.01,2.75
"901","DINHEIRO","Valencia",7.2,2.52
"902","DINHEIRO","Ativacao",5.39,3.03
"903","DIPLOMA","Valencia",8.33,1.39
"904","DIPLOMA","Ativacao",6.03,3.05
"905","DIVERSÃO","Valencia",8.31,1.76
"906","DIVERSÃO","Ativacao",5.16,3.2
"907","DIVERTIDO","Valencia",8.57,1.26
"908","DIVERTIDO","Ativacao",5.12,3.42
"909","DIVERTIMENTO","Valencia",8.27,1.56
"910","DIVERTIMENTO","Ativacao",4.88,3.24
"911","DIVÓRCIO","Valencia",2.97,2.06
"912","DIVÓRCIO","Ativacao",5.29,2.96
"913","DOCE","Valencia",7.88,1.75
"914","DOCE","Ativacao",4.46,3.2
"915","DOENÇA","Valencia",1.77,1.57
"916","DOENÇA","Ativacao",5.81,3.2
"917","DOENTE","Valencia",1.69,1.19
"918","DOENTE","Ativacao",5.29,2.94
"919","DÓLAR","Valencia",5.45,2.44
"920","DÓLAR","Ativacao",5.09,2.73
"921","DOMINADOR","Valencia",3.96,2.15
"922","DOMINADOR","Ativacao",4.71,2.8
"923","DOR","Valencia",1.91,1.65
"924","DOR","Ativacao",5.97,2.87
"925","DOUTOR","Valencia",4.84,2.22
"926","DOUTOR","Ativacao",3.86,2.68
"927","DURO","Valencia",4.41,2.13
"928","DURO","Ativacao",4.6,2.64
"929","EDIFÍCIO","Valencia",5.76,1.88
"930","EDIFÍCIO","Ativacao",2.49,1.8
"931","EDUCAÇÃO","Valencia",8.04,1.75
"932","EDUCAÇÃO","Ativacao",4.92,3.07
"933","EGOÍSTA","Valencia",2.04,1.78
"934","EGOÍSTA","Ativacao",5.33,2.89
"935","ELEGANTE","Valencia",7.38,1.76
"936","ELEGANTE","Ativacao",4.62,2.68
"937","ELEVADOR","Valencia",5.37,1.98
"938","ELEVADOR","Ativacao",3.24,2.39
"939","EMPREGO","Valencia",7.31,2.18
"940","EMPREGO","Ativacao",5.97,2.88
"941","ENCARDIDO","Valencia",3.08,1.59
"942","ENCARDIDO","Ativacao",4.02,2.53
"943","ENCHARPE","Valencia",5.59,1.8
"944","ENCHARPE","Ativacao",3.64,2.34
"945","ENCONTRO","Valencia",7.67,2.1
"946","ENCONTRO","Ativacao",5.67,2.86
"947","ENFERMEIRA","Valencia",5.33,2.2
"948","ENFERMEIRA","Ativacao",4.39,2.47
"949","ENFERRUJADO","Valencia",3.41,1.68
"950","ENFERRUJADO","Ativacao",3.25,2.18
"951","ENFURECIDO","Valencia",2.67,2.09
"952","ENFURECIDO","Ativacao",6.89,2.17
"953","ENGANAÇÃO","Valencia",1.76,1.56
"954","ENGANAÇÃO","Ativacao",6.31,2.91
"955","ENJOATIVO","Valencia",2.63,1.5
"956","ENJOATIVO","Ativacao",4.72,2.45
"957","ENLAMEADO","Valencia",3.57,1.83
"958","ENLAMEADO","Ativacao",3.65,2.54
"959","ENTEDIADO","Valencia",2.44,1.92
"960","ENTEDIADO","Ativacao",5.19,2.83
"961","ENTERRO","Valencia",1.65,1.32
"962","ENTERRO","Ativacao",5.31,3.31
"963","ENTULHO","Valencia",3.61,2.12
"964","ENTULHO","Ativacao",3.54,6.56
"965","ENTUSIASMO","Valencia",8.02,1.83
"966","ENTUSIASMO","Ativacao",4.78,3.11
"967","ENVERGONHADO","Valencia",3.29,1.95
"968","ENVERGONHADO","Ativacao",5.33,2.42
"969","ERÓTICO","Valencia",7.31,2.03
"970","ERÓTICO","Ativacao",4.8,3.21
"971","ERRO","Valencia",2.43,1.91
"972","ERRO","Ativacao",6.4,2.57
"973","ERUDITO","Valencia",5.47,1.97
"974","ERUDITO","Ativacao",2.86,2.31
"975","ESBANJAMENTO","Valencia",3.47,2.29
"976","ESBANJAMENTO","Ativacao",5.25,2.64
"977","ESCALDANTE","Valencia",4.2,1.89
"978","ESCALDANTE","Ativacao",3.86,2.76
"979","ESCÂNDALO","Valencia",3.31,2.22
"980","ESCÂNDALO","Ativacao",5.51,2.73
"981","ESCONDER","Valencia",4.08,1.91
"982","ESCONDER","Ativacao",4.51,2.78
"983","ESCORBUTO","Valencia",3.77,1.94
"984","ESCORBUTO","Ativacao",4.03,2.55
"985","HOSPITAL","Valencia",2.75,2.55
"986","HOSPITAL","Ativacao",5.39,3.18
"987","HOSTIL","Valencia",5.6,2.97
"988","HOSTIL","Ativacao",4.58,2.72
"989","HOTEL","Valencia",7.11,2.02
"990","HOTEL","Ativacao",3.79,2.84
"991","HUMANITÁRIO","Valencia",4.58,3.69
"992","HUMANITÁRIO","Ativacao",5.31,3.34
"993","HUMBÚRGUER","Valencia",6.91,2.47
"994","HUMBÚRGUER","Ativacao",4.19,2.8
"995","HUMILDE","Valencia",7.66,1.88
"996","HUMILDE","Ativacao",3.6,2.69
"997","HUMILHAR","Valencia",4.36,3.34
"998","HUMILHAR","Ativacao",5.8,3.11
"999","HUMOR","Valencia",7.97,2.15
"1000","HUMOR","Ativacao",5.26,3.5
"1001","IATE","Valencia",6.73,1.98
"1002","IATE","Ativacao",3.97,2.37
"1003","IDÉIA","Valencia",8.14,1.6
"1004","IDÉIA","Ativacao",5.31,3.32
"1005","IDENTIDADE","Valencia",7.35,1.92
"1006","IDENTIDADE","Ativacao",4.5,2.9
"1007","IDIOTA","Valencia",2.28,2
"1008","IDIOTA","Ativacao",5.28,2.9
"1009","ÍDOLO","Valencia",5.99,2.52
"1010","ÍDOLO","Ativacao",3.73,2.36
"1011","IGNORÂNCIA","Valencia",2.11,1.83
"1012","IGNORÂNCIA","Ativacao",5.57,2.99
"1013","IGREJA","Valencia",4.22,2.75
"1014","IGREJA","Ativacao",4.7,2.72
"1015","IMAGINAR","Valencia",8.02,1.69
"1016","IMAGINAR","Ativacao",5.06,3.25
"1017","IMATURO","Valencia",2.85,1.88
"1018","IMATURO","Ativacao",5.7,2.66
"1019","IMORAL","Valencia",2.03,1.56
"1020","IMORAL","Ativacao",5,3
"1021","IMPLICAR","Valencia",4.69,2.8
"1022","IMPLICAR","Ativacao",5.47,2.63
"1023","IMPOTENTE","Valencia",2.08,1.54
"1024","IMPOTENTE","Ativacao",5.34,3
"1025","IMPRESSIONADO","Valencia",6.97,2.42
"1026","IMPRESSIONADO","Ativacao",4.09,2.82
"1027","IMUNDÍCIE","Valencia",1.86,1.74
"1028","IMUNDÍCIE","Ativacao",5.18,2.88
"1029","INCENTIVO","Valencia",4.76,3.25
"1030","INCENTIVO","Ativacao",5.4,2.67
"1031","INCOMODADO","Valencia",2.45,1.9
"1032","INCOMODADO","Ativacao",5.66,2.64
"1033","INCOMODAR","Valencia",2.97,2.22
"1034","INCOMODAR","Ativacao",5.86,2.79
"1035","INCUMBÊNCIA","Valencia",5.02,2.1
"1036","INCUMBÊNCIA","Ativacao",4.29,2.3
"1037","INDIFERENTE","Valencia",4.37,2.37
"1038","INDIFERENTE","Ativacao",4.59,2.24
"1039","INDÚSTRIA","Valencia",5.63,2.55
"1040","INDÚSTRIA","Ativacao",4.5,2.5
"1041","INFANTE","Valencia",2.99,2.11
"1042","INFANTE","Ativacao",5.24,2.84
"1043","INFECÇÃO","Valencia",1.77,1.54
"1044","INFECÇÃO","Ativacao",5.61,2.96
"1045","INFELIZ","Valencia",1.54,1.37
"1046","INFELIZ","Ativacao",6.2,3.01
"1047","INFERIOR","Valencia",2.49,1.86
"1048","INFERIOR","Ativacao",4.5,2.73
"1049","INFERNO","Valencia",3.81,2.85
"1050","INFERNO","Ativacao",4.88,3.13
"1051","INFIEL","Valencia",2.08,1.97
"1052","INFIEL","Ativacao",6.34,3.15
"1053","INOCENTE","Valencia",3.74,2.53
"1054","INOCENTE","Ativacao",5.45,2.68
